strategy,parameter,name,filename,N,size,periodic,symmetry,heuristic,attempts,contradictions,successes,contradiction_rate,avg_observations
Fixed,1100,SimpleWall,SimpleWall_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,634
Fixed,1100,TrickKnot,TrickKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,634.3
Fixed,1100,Village,Village_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,542
Fixed,1100,Water,Water_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,268.5
Fixed,1100,Cat,Cat_N3_size80.png,3,80,True,2,Entropy,100,0,100,0,2030.9
Fixed,1100,Cats,Cats_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,406
Fixed,1100,Skyline2,Skyline2_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,848.2
Fixed,1100,Angular,Angular_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,700.3
Fixed,1100,City,City_N3_size80.png,3,80,True,8,Entropy,100,0,100,0,430.6
Fixed,1100,ColoredCity,ColoredCity_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,214.7
Fixed,1100,Dungeon,Dungeon_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1269.3
Fixed,1100,Lake,Lake_N3_size60.png,3,60,True,8,Entropy,100,0,100,0,1597.6
Fixed,1100,Link,Link_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1012.5
Fixed,1100,Link2,Link2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1743.6
Fixed,1100,Mazelike,Mazelike_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,694.6
Fixed,1100,Nested,Nested_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,110.3
Fixed,1100,MagicOffice,MagicOffice_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,916.1
Fixed,1100,Office2,Office2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1321
Fixed,1100,Qud,Qud_N3_size80.png,3,80,True,8,Entropy,100,0,100,0,1983.9
Fixed,1100,RedDot,RedDot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,838
Fixed,1100,ScaledMaze,ScaledMaze_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,2134.6
Fixed,1100,Sewers,Sewers_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,833.7
Fixed,1100,Skew1,Skew1_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1130.5
Fixed,1100,Skew2,Skew2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,792.4
Fixed,1100,SmileCity,SmileCity_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,244.4
Fixed,1100,Spirals,Spirals_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,705.3
Fixed,1100,Town,Town_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,522.2
Fixed,1100,Wall,Wall_N2_size48.png,2,48,False,1,Entropy,100,0,100,0,391.7
Fixed,1100,Wall,Wall_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,343.5
Fixed,1100,Wall,Wall_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,306.2
